what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1400905919990
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1400905919990
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1400905919992
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1400905919994
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1400905919994
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1400905919995
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1400905919996
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1400905919997
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1400905919998
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1400905919999
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1400905919999
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1400905920000
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1400905920001
os,sysinfo,,,"win32",1400905920005
arch,sysinfo,,,"x86",1400905920005
ws,sysinfo,,,"win32",1400905920005
locale,sysinfo,,,"en_AU",1400905920005
processors,sysinfo,,,"2",1400905920005
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1400905920005
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1400905920005
java.specification.name,sysinfo,,,"Java Platform API Specification",1400905920005
java.specification.vendor,sysinfo,,,"Oracle Corporation",1400905920005
java.specification.version,sysinfo,,,"1.7",1400905920005
java.vendor,sysinfo,,,"Oracle Corporation",1400905920005
java.version,sysinfo,,,"1.7.0_55",1400905920005
java.vm.info,sysinfo,,,"mixed mode, sharing",1400905920005
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1400905920005
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1400905920005
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1400905920005
java.vm.specification.version,sysinfo,,,"1.7",1400905920005
java.vm.vendor,sysinfo,,,"Oracle Corporation",1400905920005
java.vm.version,sysinfo,,,"24.55-b03",1400905920005
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1400905920017
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1400905924692
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1400905924797
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1400905924907
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1400905925013
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1400905925143
