what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1402724317729
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1402724317729
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1402724317732
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1402724317734
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1402724317735
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1402724317736
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1402724317737
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1402724317739
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1402724317740
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1402724317773
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1402724317774
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1402724317776
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1402724317777
os,sysinfo,,,"win32",1402724317782
arch,sysinfo,,,"x86",1402724317782
ws,sysinfo,,,"win32",1402724317782
locale,sysinfo,,,"en_AU",1402724317782
processors,sysinfo,,,"2",1402724317782
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1402724317782
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1402724317782
java.specification.name,sysinfo,,,"Java Platform API Specification",1402724317782
java.specification.vendor,sysinfo,,,"Oracle Corporation",1402724317782
java.specification.version,sysinfo,,,"1.7",1402724317782
java.vendor,sysinfo,,,"Oracle Corporation",1402724317782
java.version,sysinfo,,,"1.7.0_55",1402724317782
java.vm.info,sysinfo,,,"mixed mode, sharing",1402724317782
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1402724317782
