what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395219342004
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395219342098
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395219345492
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395219345763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1395220164407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395220167758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1395220170018
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1395220474469
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1395220475233
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220479969
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220480296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395220657801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220666215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220667396
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220715405
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220715574
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220715727
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220715873
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220716058
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220716221
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220716420
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220716583
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1395220716912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395220795537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220799635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220800907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395220810707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220813307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220814243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220816735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220857472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220983185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220993878
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1395221035046
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1395221035404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395221084051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221086978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221088024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221090929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221103954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395221172787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395221186498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221189705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221190748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221193232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221202374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395221262272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395221263429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395221264217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395221271604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221273751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221274773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221277053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221288477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395221371356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221373703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221374855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221377884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221482347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221485297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395221489238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395650923628
